127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.023247
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.072791
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.030600
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.032964
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.010137
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002443
127.0.0.1, 2018-04-22 11:50:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000351
127.0.0.1, 2018-04-22 11:50:16, POST, /admin/default/index, HTTP/1.1, 200, 1.034339
127.0.0.1, 2018-04-22 11:50:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000386
127.0.0.1, 2018-04-22 11:50:25, POST, /admin/default/index, HTTP/1.1, 200, 2.059495
127.0.0.1, 2018-04-22 11:50:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000417
127.0.0.1, 2018-04-22 11:50:35, POST, /admin/default/index, HTTP/1.1, 303, 0.012812
127.0.0.1, 2018-04-22 11:50:35, GET, /admin/default/site, HTTP/1.1, 200, 0.084383
127.0.0.1, 2018-04-22 11:50:35, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.027468
127.0.0.1, 2018-04-22 11:50:35, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.025091
127.0.0.1, 2018-04-22 11:50:35, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.009541
127.0.0.1, 2018-04-22 11:50:36, POST, /admin/default/check_version, HTTP/1.1, 200, 0.373862
127.0.0.1, 2018-04-22 11:50:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000398
127.0.0.1, 2018-04-22 11:50:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
127.0.0.1, 2018-04-22 12:06:06, GET, /, HTTP/1.1, 303, 0.021594
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.493039
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001112
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002694
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002309
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.005933
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003319
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002887
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010197
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000692
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001651
127.0.0.1, 2018-04-22 12:06:06, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002077
127.0.0.1, 2018-04-22 12:06:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001546
127.0.0.1, 2018-04-22 12:06:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001696
127.0.0.1, 2018-04-22 12:06:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002706
127.0.0.1, 2018-04-22 12:06:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000788
127.0.0.1, 2018-04-22 12:37:14, GET, /welcome/start/cats/onechi, HTTP/1.1, 404, 0.866597
127.0.0.1, 2018-04-22 12:37:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2018-04-22 12:38:37, GET, /welcome/start/cats/onechi, HTTP/1.1, 404, 0.224524
127.0.0.1, 2018-04-22 12:38:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2018-04-22 12:38:47, GET, /start/cats/onechi, HTTP/1.1, 200, 0.366969
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002417
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.009019
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001257
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.016025
